,club_name,drawn,goal,goal_against,lost,points,position,won,season,aerial_battles,big_chance_created,clearance,cross,cross_accuracy,goal_conceded_per_match,goal_per_match,interceptions,pass_accuracy,pass_per_game,shooting_accuracy,shot_on_target,tackle_success,total_games,is_top4
0,Liverpool,1,66,21,1,82,1,27,2020-01-01,1982,71,497,687,20,0.72,2.28,267,84,622.17,39,176,60,29,1
1,Manchester City,3,68,31,7,57,2,18,2020-01-01,1747,79,362,719,22,1.11,2.43,263,89,675.89,35,192,58,28,1
2,Leicester City,5,58,28,8,53,3,16,2020-01-01,2183,56,550,572,20,1.03,2.0,330,82,516.31,38,154,58,29,1
3,Chelsea,6,51,39,9,48,4,14,2020-01-01,2265,55,458,646,24,1.34,1.76,363,85,602.0,35,169,56,29,1
20,Manchester City,2,95,23,4,98,1,32,2019-01-01,2344,101,543,783,20,0.61,2.5,362,89,699.5,38,260,63,38,1
21,Liverpool,7,89,22,1,97,2,30,2019-01-01,2518,78,639,721,24,0.56,2.28,314,84,606.1,39,226,61,38,1
22,Chelsea,9,63,39,8,72,3,21,2019-01-01,2548,81,593,692,19,1.03,1.66,351,88,659.74,33,198,59,38,1
23,Tottenham Hotspur,2,67,39,13,71,4,23,2019-01-01,2566,64,770,643,26,1.03,1.76,326,83,560.39,35,189,60,38,1
40,Manchester City,4,106,27,2,100,1,32,2018-01-01,2460,95,588,691,21,0.71,2.79,346,89,743.18,40,265,68,38,1
41,Manchester United,6,68,28,7,81,2,25,2018-01-01,2699,60,853,753,20,0.74,1.79,481,84,528.0,35,178,65,38,1
42,Tottenham Hotspur,8,74,36,7,77,3,23,2018-01-01,2673,76,825,825,20,0.95,1.95,380,84,570.0,35,216,65,38,1
43,Liverpool,12,84,38,5,75,4,21,2018-01-01,2565,78,736,764,22,1.0,2.21,379,84,604.26,37,233,71,38,1
60,Chelsea,3,85,33,5,93,1,30,2017-01-01,2682,48,839,688,19,0.87,2.24,510,84,529.61,35,204,71,38,1
61,Tottenham Hotspur,8,86,26,4,86,2,26,2017-01-01,2696,53,1003,761,20,0.68,2.26,314,82,530.26,38,257,75,38,1
62,Manchester City,9,80,39,6,78,3,23,2017-01-01,2730,77,905,801,24,1.03,2.11,504,86,597.53,34,216,71,38,1
63,Liverpool,10,78,42,6,76,4,22,2017-01-01,2810,52,877,812,22,1.11,2.05,410,82,586.58,37,236,71,38,1
80,Leicester City,12,68,36,3,81,1,23,2016-01-01,3069,76,1040,762,23,0.95,1.79,819,71,351.84,34,179,76,38,1
81,Arsenal,11,65,36,7,71,2,20,2016-01-01,2785,88,849,754,25,0.95,1.71,734,84,559.18,37,211,73,38,1
82,Tottenham Hotspur,13,69,35,6,70,3,19,2016-01-01,2619,64,1046,738,21,0.92,1.82,645,80,490.76,38,252,77,38,1
83,Manchester City,9,71,41,10,66,4,19,2016-01-01,2751,55,940,866,24,1.08,1.87,630,83,539.16,34,210,73,38,1
100,Chelsea,9,73,32,3,87,1,26,2015-01-01,3075,66,1027,682,22,0.84,1.92,376,83,533.37,37,210,81,38,1
101,Manchester City,7,83,38,7,79,2,24,2015-01-01,2681,66,872,795,23,1.0,2.18,569,85,581.76,34,229,75,38,1
102,Arsenal,9,71,36,7,75,3,22,2015-01-01,3242,66,1006,866,20,0.95,1.87,762,84,540.18,37,227,75,38,1
103,Manchester United,10,62,37,8,70,4,20,2015-01-01,2689,54,1118,908,22,0.97,1.63,679,85,560.82,35,180,74,38,1
120,Manchester City,5,102,37,6,86,1,27,2014-01-01,2562,86,938,892,25,0.97,2.68,496,86,546.34,35,238,77,38,1
121,Liverpool,6,101,50,6,84,2,26,2014-01-01,2858,88,1339,643,21,1.32,2.66,465,84,515.76,40,258,76,38,1
122,Chelsea,7,71,27,6,82,3,25,2014-01-01,3055,50,1141,809,25,0.71,1.87,380,83,480.68,33,229,77,38,1
123,Arsenal,7,68,41,7,79,4,24,2014-01-01,2777,62,1207,753,22,1.08,1.79,541,86,567.39,41,213,74,38,1
140,Manchester United,5,86,43,5,89,1,28,2013-01-01,2477,89,1319,962,22,1.13,2.26,514,86,518.32,38,213,77,38,1
141,Manchester City,9,66,34,6,78,2,23,2013-01-01,2533,84,1068,860,24,0.89,1.74,492,85,527.92,35,231,80,38,1
142,Chelsea,9,75,39,7,75,3,22,2013-01-01,2469,56,981,863,20,1.03,1.97,504,83,485.05,34,212,76,38,1
143,Arsenal,10,72,37,7,73,4,21,2013-01-01,2840,70,873,951,19,0.97,1.89,636,86,555.53,34,205,79,38,1
160,Manchester City,5,93,29,5,89,1,28,2012-01-01,2080,86,930,843,22,0.76,2.45,631,86,549.03,34,250,74,38,1
161,Manchester United,5,89,33,5,89,2,28,2012-01-01,2151,85,1165,1018,22,0.87,2.34,574,85,531.39,38,243,75,38,1
162,Arsenal,7,74,49,10,70,3,21,2012-01-01,2336,97,766,896,22,1.29,1.95,605,85,542.45,37,236,74,38,1
163,Tottenham Hotspur,9,66,41,9,69,4,20,2012-01-01,2286,71,1045,846,25,1.08,1.74,716,85,514.84,33,230,74,38,1
180,Manchester United,11,78,37,4,80,1,23,2011-01-01,2353,71,1053,1005,24,0.97,2.05,646,81,496.58,34,212,76,38,1
181,Chelsea,8,69,33,9,71,2,21,2011-01-01,2551,86,762,995,25,0.87,1.82,616,84,506.21,33,244,74,38,1
182,Manchester City,8,60,33,9,71,3,21,2011-01-01,2519,52,1206,762,20,0.87,1.58,629,82,467.58,32,177,75,38,1
183,Arsenal,11,72,43,8,68,4,19,2011-01-01,2636,99,1077,928,19,1.13,1.89,709,84,530.26,36,238,74,38,1
200,Chelsea,5,103,32,6,86,1,27,2010-01-01,2448,0,1055,1083,26,0.84,2.71,705,83,496.11,35,288,73,38,1
201,Manchester United,4,86,28,7,85,2,27,2010-01-01,2608,0,983,1156,25,0.74,2.26,602,80,508.37,32,221,76,38,1
202,Arsenal,6,83,41,9,75,3,23,2010-01-01,2900,0,1091,1023,18,1.08,2.18,839,81,507.66,35,233,75,38,1
203,Tottenham Hotspur,7,67,41,10,70,4,21,2010-01-01,3072,0,1360,912,25,1.08,1.76,804,77,407.21,33,226,75,38,1
220,Manchester United,6,68,24,4,90,1,28,2009-01-01,2403,0,1322,1039,23,0.63,1.79,640,83,510.95,32,230,69,38,1
221,Liverpool,11,77,27,2,86,2,25,2009-01-01,2541,0,1279,1021,24,0.71,2.03,657,81,513.29,30,224,75,38,1
222,Chelsea,8,68,24,5,83,3,25,2009-01-01,2473,0,1069,938,25,0.63,1.79,504,84,524.29,31,248,75,38,1
223,Arsenal,12,68,37,6,72,4,20,2009-01-01,2709,0,1280,1069,21,0.97,1.79,872,83,499.76,33,220,75,38,1
240,Manchester United,6,80,22,5,87,1,27,2008-01-01,2578,0,2022,936,25,0.58,2.11,446,81,458.47,37,260,76,38,1
241,Chelsea,10,65,26,3,85,2,25,2008-01-01,2586,0,1687,945,21,0.68,1.71,506,81,454.0,33,199,76,38,1
242,Arsenal,11,74,31,3,83,3,24,2008-01-01,2527,0,1840,888,24,0.82,1.95,505,83,495.55,33,208,75,38,1
243,Liverpool,13,67,28,4,76,4,21,2008-01-01,2718,0,1952,932,26,0.74,1.76,614,77,430.53,31,214,74,38,1
260,Manchester United,5,83,27,5,89,1,28,2007-01-01,2303,0,1222,918,25,0.71,2.18,254,80,492.71,37,256,76,38,1
